Episode,Links
1,https://scontent-xsp1-1.xx.fbcdn.net/v/t39.25447-2/10000000_670078458089376_2901787250360798119_n.mp4?_nc_cat=103&vs=58ccd10c1b17eb&_nc_vs=HBksFQAYJEdJQ1dtQUNnVDNmTWJtRUNBS2RMZ3o4aE9FVW9ibWRqQUFBRhUAAsgBABUAGCRHSUNXbUFBbWdKRTJWb1lDQUlsb2pjeldwRE0wYnY0R0FBQUYVAgLIAQBLB4gScHJvZ3Jlc3NpdmVfcmVjaXBlATENc3Vic2FtcGxlX2ZwcwAQdm1hZl9lbmFibGVfbnN1YgAgbWVhc3VyZV9vcmlnaW5hbF9yZXNvbHV0aW9uX3NzaW0AKGNvbXB1dGVfc3NpbV9vbmx5X2F0X29yaWdpbmFsX3Jlc29sdXRpb24AHXVzZV9sYW5jem9zX2Zvcl92cW1fdXBzY2FsaW5nABFkaXNhYmxlX3Bvc3RfcHZxcwAVACUAHIwXQAAAAAAAAAAREQAAACbQwOrwgsvmIhUCKAJDMxgLdnRzX3ByZXZpZXccF0CWu9DlYEGJGCFkYXNoX2dlbjJod2Jhc2ljX2hxMl9mcmFnXzJfdmlkZW8SABgYdmlkZW9zLnZ0cy5jYWxsYmFjay5wcm9kOBJWSURFT19WSUVXX1JFUVVFU1QbCogVb2VtX3RhcmdldF9lbmNvZGVfdGFnBm9lcF9oZBNvZW1fcmVxdWVzdF90aW1lX21zATAMb2VtX2NmZ19ydWxlB3VubXV0ZWQTb2VtX3JvaV9yZWFjaF9jb3VudAEwEW9lbV9pc19leHBlcmltZW50AAxvZW1fdmlkZW9faWQQMTQ4NjM2Mjc3NTU0OTA0ORJvZW1fdmlkZW9fYXNzZXRfaWQQMTAyMDQ3MDk1OTMwMTE1NRVvZW1fdmlkZW9fcmVzb3VyY2VfaWQQOTc5NTczODQ1NzE2NTg2NBxvZW1fc291cmNlX3ZpZGVvX2VuY29kaW5nX2lkDzkzNTM2NTAyNDIyODcyMQ52dHNfcmVxdWVzdF9pZAAlAhwAJY4CGwiIAXMENjcyNgJjZAoyMDIzLTA4LTIwA3JjYgEwA2FwcAZ1cGxvYWQCY3QZQ09OVEFJTkVEX1BPU1RfQVRUQUNITUVOVBNvcmlnaW5hbF9kdXJhdGlvbl9zCDE0NTUuMDA5AWYCYWQCdHMVcHJvZ3Jlc3NpdmVfZW5jb2RpbmdzAA%3D%3D&ccb=1-7&_nc_sid=41a7d5&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=3HcuFbR5krAAX-AtKZX&_nc_ht=scontent-xsp1-1.xx&edm=APRAPSkEAAAA&oh=00_AfCvLNnn2wfh0Qe8m2026Zks3CuZWgGh4sfRxqCNUvuCAg&oe=65037E59&_nc_rid=616584571683391
2,https://scontent-xsp1-1.xx.fbcdn.net/v/t39.25447-2/10000000_687848463378213_447674607866149032_n.mp4?_nc_cat=108&vs=7b089ab9fcba687f&_nc_vs=HBksFQAYJEdJQ1dtQUFscDFFem1IRUNBS2o0MGhpdmRUWUdibWRqQUFBRhUAAsgBABUAGCRHSUNXbUFCVklFWDViemtDQUtfbHpKUkx3Y1VVYnY0R0FBQUYVAgLIAQBLB4gScHJvZ3Jlc3NpdmVfcmVjaXBlATENc3Vic2FtcGxlX2ZwcwAQdm1hZl9lbmFibGVfbnN1YgAgbWVhc3VyZV9vcmlnaW5hbF9yZXNvbHV0aW9uX3NzaW0AKGNvbXB1dGVfc3NpbV9vbmx5X2F0X29yaWdpbmFsX3Jlc29sdXRpb24AHXVzZV9sYW5jem9zX2Zvcl92cW1fdXBzY2FsaW5nABFkaXNhYmxlX3Bvc3RfcHZxcwAVACUAHIwXQAAAAAAAAAAREQAAACakjfrUj8WAAxUCKAJDMxgLdnRzX3ByZXZpZXccF0CWu6bpeNT%2BGCFkYXNoX2dlbjJod2Jhc2ljX2hxMl9mcmFnXzJfdmlkZW8SABgYdmlkZW9zLnZ0cy5jYWxsYmFjay5wcm9kOBJWSURFT19WSUVXX1JFUVVFU1QbCogVb2VtX3RhcmdldF9lbmNvZGVfdGFnBm9lcF9oZBNvZW1fcmVxdWVzdF90aW1lX21zATAMb2VtX2NmZ19ydWxlB3VubXV0ZWQTb2VtX3JvaV9yZWFjaF9jb3VudAEwEW9lbV9pc19leHBlcmltZW50AAxvZW1fdmlkZW9faWQQMTk2NDczNzYwMDU2ODY3MxJvZW1fdmlkZW9fYXNzZXRfaWQQMTM2ODEyODM2MDc2OTU2NRVvZW1fdmlkZW9fcmVzb3VyY2VfaWQPODQ1NjEyNDQzNDUyMjQyHG9lbV9zb3VyY2VfdmlkZW9fZW5jb2RpbmdfaWQQMTUyMzUwMTc4NTA1NDUwMQ52dHNfcmVxdWVzdF9pZAAlAhwAJY4CGwiIAXMENDE4NAJjZAoyMDIzLTA4LTI2A3JjYgEwA2FwcAZ1cGxvYWQCY3QZQ09OVEFJTkVEX1BPU1RfQVRUQUNITUVOVBNvcmlnaW5hbF9kdXJhdGlvbl9zCzE0NTQuOTYxNjY3AWYCYWQCdHMVcHJvZ3Jlc3NpdmVfZW5jb2RpbmdzAA%3D%3D&ccb=1-7&_nc_sid=41a7d5&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=Ct50M_K9zjgAX84ViU3&_nc_ht=scontent-xsp1-1.xx&edm=APRAPSkEAAAA&oh=00_AfC943xoEfiIRRPV4bdP53FS_U91yFPKu6EkodzGp3fORA&oe=650250BF&_nc_rid=936299073367995
3,https://scontent-xsp1-3.xx.fbcdn.net/v/t39.25447-2/10000000_842569450389241_1990709214619075376_n.mp4?_nc_cat=111&vs=49cdbab1e21c9a12&_nc_vs=HBksFQAYJEdJQ1dtQUQ1LXNuOFQtNENBRENEZDhSN2E2QWJibWRqQUFBRhUAAsgBABUAGCRHSUNXbUFESUxTeDJXMkVXQUlZMXBYc0E3Zzh4YnY0R0FBQUYVAgLIAQBLB4gScHJvZ3Jlc3NpdmVfcmVjaXBlATENc3Vic2FtcGxlX2ZwcwAQdm1hZl9lbmFibGVfbnN1YgAgbWVhc3VyZV9vcmlnaW5hbF9yZXNvbHV0aW9uX3NzaW0AKGNvbXB1dGVfc3NpbV9vbmx5X2F0X29yaWdpbmFsX3Jlc29sdXRpb24AHXVzZV9sYW5jem9zX2Zvcl92cW1fdXBzY2FsaW5nABFkaXNhYmxlX3Bvc3RfcHZxcwAVACUAHIwXQAAAAAAAAAAREQAAACag%2FLfp0rzPAxUCKAJDMxgLdnRzX3ByZXZpZXccF0CWwqfvnbItGCFkYXNoX2dlbjJod2Jhc2ljX2hxMl9mcmFnXzJfdmlkZW8SABgYdmlkZW9zLnZ0cy5jYWxsYmFjay5wcm9kOBJWSURFT19WSUVXX1JFUVVFU1QbCogVb2VtX3RhcmdldF9lbmNvZGVfdGFnBm9lcF9oZBNvZW1fcmVxdWVzdF90aW1lX21zATAMb2VtX2NmZ19ydWxlB3VubXV0ZWQTb2VtX3JvaV9yZWFjaF9jb3VudAEwEW9lbV9pc19leHBlcmltZW50AAxvZW1fdmlkZW9faWQQMTUyNjE3NTAzMTUyNDI3MRJvZW1fdmlkZW9fYXNzZXRfaWQPMjYzODcwMzYzMjUwNTg1FW9lbV92aWRlb19yZXNvdXJjZV9pZBAxMDE5MTg5Njc1ODg0MzA0HG9lbV9zb3VyY2VfdmlkZW9fZW5jb2RpbmdfaWQPNjY2MjY1OTg4Nzg2Mzc5DnZ0c19yZXF1ZXN0X2lkACUCHAAljgIbCIgBcwQ2ODI3AmNkCjIwMjMtMDgtMjYDcmNiATADYXBwBnVwbG9hZAJjdBlDT05UQUlORURfUE9TVF9BVFRBQ0hNRU5UE29yaWdpbmFsX2R1cmF0aW9uX3MLMTQ1Ni43MjY2NjcBZgJhZAJ0cxVwcm9ncmVzc2l2ZV9lbmNvZGluZ3MA&ccb=1-7&_nc_sid=41a7d5&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=QMcZtR90SlYAX8ThPa0&_nc_ht=scontent-xsp1-3.xx&edm=APRAPSkEAAAA&oh=00_AfA8Xk441GFnNbW9jt8pHkpxHuZO9v2UtxESVkFVVJsX1g&oe=6503F635&_nc_rid=231053269301686
4,https://scontent-xsp1-1.xx.fbcdn.net/v/t39.25447-2/10000000_2686562301497201_1634046452689983151_n.mp4?_nc_cat=110&vs=1cabb42fd4d410a8&_nc_vs=HBksFQAYJEdJQ1dtQUJ4ejZVSGFvc0pBSy1XRWxlWFRLMFdibWRqQUFBRhUAAsgBABUAGCRHSUNXbUFCVVotZzhLQzBGQVBqdzdGNDROM3drYnY0R0FBQUYVAgLIAQBLB4gScHJvZ3Jlc3NpdmVfcmVjaXBlATENc3Vic2FtcGxlX2ZwcwAQdm1hZl9lbmFibGVfbnN1YgAgbWVhc3VyZV9vcmlnaW5hbF9yZXNvbHV0aW9uX3NzaW0AKGNvbXB1dGVfc3NpbV9vbmx5X2F0X29yaWdpbmFsX3Jlc29sdXRpb24AHXVzZV9sYW5jem9zX2Zvcl92cW1fdXBzY2FsaW5nABFkaXNhYmxlX3Bvc3RfcHZxcwAVACUAHIwXQAAAAAAAAAAREQAAACau3YPg4PWlAhUCKAJDMxgLdnRzX3ByZXZpZXccF0CWu9DlYEGJGCFkYXNoX2dlbjJod2Jhc2ljX2hxMl9mcmFnXzJfdmlkZW8SABgYdmlkZW9zLnZ0cy5jYWxsYmFjay5wcm9kOBJWSURFT19WSUVXX1JFUVVFU1QbCogVb2VtX3RhcmdldF9lbmNvZGVfdGFnBm9lcF9oZBNvZW1fcmVxdWVzdF90aW1lX21zATAMb2VtX2NmZ19ydWxlB3VubXV0ZWQTb2VtX3JvaV9yZWFjaF9jb3VudAEwEW9lbV9pc19leHBlcmltZW50AAxvZW1fdmlkZW9faWQPODQ4NzkxODg5OTMwNzAwEm9lbV92aWRlb19hc3NldF9pZA83MTA1OTg3OTc2NTA2NTYVb2VtX3ZpZGVvX3Jlc291cmNlX2lkDzY0NjMzNjg0NDE2Njk5ORxvZW1fc291cmNlX3ZpZGVvX2VuY29kaW5nX2lkDzY4MDcwNjMzNzI5MDkwOQ52dHNfcmVxdWVzdF9pZAAlAhwAJY4CGwiIAXMENjg1MwJjZAoyMDIzLTA4LTI2A3JjYgEwA2FwcAZ1cGxvYWQCY3QZQ09OVEFJTkVEX1BPU1RfQVRUQUNITUVOVBNvcmlnaW5hbF9kdXJhdGlvbl9zCzE0NTUuMDA4MzMzAWYCYWQCdHMVcHJvZ3Jlc3NpdmVfZW5jb2RpbmdzAA%3D%3D&ccb=1-7&_nc_sid=41a7d5&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=Ss87-o6L_DUAX_PKl02&_nc_ht=scontent-xsp1-1.xx&edm=APRAPSkEAAAA&oh=00_AfCdTxeoAs3D5pv05D99HHcLzi2fPJpVGFOaQVauihLsZg&oe=6502B5E4&_nc_rid=304647614060301
5,https://scontent-xsp1-3.xx.fbcdn.net/v/t39.25447-2/10000000_1349065146023157_7022074285669583796_n.mp4?_nc_cat=107&vs=eb6442b99da3efb9&_nc_vs=HBksFQAYJEdJQ1dtQUQxdk02MDk4b0VBTFNMdmJkYmEzTmhibWRqQUFBRhUAAsgBABUAGCRHSUNXbUFCeFZfZEo0Z3BWQUVxbGNfems4S2dhYnY0R0FBQUYVAgLIAQBLB4gScHJvZ3Jlc3NpdmVfcmVjaXBlATENc3Vic2FtcGxlX2ZwcwAQdm1hZl9lbmFibGVfbnN1YgAgbWVhc3VyZV9vcmlnaW5hbF9yZXNvbHV0aW9uX3NzaW0AKGNvbXB1dGVfc3NpbV9vbmx5X2F0X29yaWdpbmFsX3Jlc29sdXRpb24AHXVzZV9sYW5jem9zX2Zvcl92cW1fdXBzY2FsaW5nABFkaXNhYmxlX3Bvc3RfcHZxcwAVACUAHIwXQAAAAAAAAAAREQAAACbs4eXow895FQIoAkMzGAt2dHNfcHJldmlldxwXQJbkBiTdLxsYIWRhc2hfZ2VuMmh3YmFzaWNfaHEyX2ZyYWdfMl92aWRlbxIAGBh2aWRlb3MudnRzLmNhbGxiYWNrLnByb2Q4ElZJREVPX1ZJRVdfUkVRVUVTVBsKiBVvZW1fdGFyZ2V0X2VuY29kZV90YWcGb2VwX2hkE29lbV9yZXF1ZXN0X3RpbWVfbXMBMAxvZW1fY2ZnX3J1bGUHdW5tdXRlZBNvZW1fcm9pX3JlYWNoX2NvdW50ATARb2VtX2lzX2V4cGVyaW1lbnQADG9lbV92aWRlb19pZA84NDYyNjA2MTAxNzUyNTMSb2VtX3ZpZGVvX2Fzc2V0X2lkEDE0NTkyNTY4MTE1MzAxOTEVb2VtX3ZpZGVvX3Jlc291cmNlX2lkDzI2NzQ0ODEyNjA2MDY2MhxvZW1fc291cmNlX3ZpZGVvX2VuY29kaW5nX2lkEDE5Mjk5NDc5MTczODMxNDMOdnRzX3JlcXVlc3RfaWQAJQIcACWOAhsIiAFzBDg1NjQCY2QKMjAyMy0wOC0yNgNyY2IBMANhcHAGdXBsb2FkAmN0GUNPTlRBSU5FRF9QT1NUX0FUVEFDSE1FTlQTb3JpZ2luYWxfZHVyYXRpb25fcwsxNDY1LjA2MTY2NwFmAmFkAnRzFXByb2dyZXNzaXZlX2VuY29kaW5ncwA%3D&ccb=1-7&_nc_sid=41a7d5&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=0-IeBAVjHp0AX-zqcll&_nc_ht=scontent-xsp1-3.xx&edm=APRAPSkEAAAA&oh=00_AfAzFhEaMWjUjVpsbW2DOK7v4_yqVJok6TTP5bpwWPgISw&oe=65031211&_nc_rid=357107667267321
6,https://scontent-xsp1-3.xx.fbcdn.net/v/t39.25447-2/10000000_1352031059043626_3307044147854518921_n.mp4?_nc_cat=100&vs=1d988d1d570f03e7&_nc_vs=HBksFQAYJEdJQ1dtQUFxNWY5Q3FzMEVBSWtxWjRraF9fUXRibWRqQUFBRhUAAsgBABUAGCRHSUNXbUFCZzl5ZW9tR01YQU9sOHNxWGpKWUVfYnY0R0FBQUYVAgLIAQBLB4gScHJvZ3Jlc3NpdmVfcmVjaXBlATENc3Vic2FtcGxlX2ZwcwAQdm1hZl9lbmFibGVfbnN1YgAgbWVhc3VyZV9vcmlnaW5hbF9yZXNvbHV0aW9uX3NzaW0AKGNvbXB1dGVfc3NpbV9vbmx5X2F0X29yaWdpbmFsX3Jlc29sdXRpb24AHXVzZV9sYW5jem9zX2Zvcl92cW1fdXBzY2FsaW5nABFkaXNhYmxlX3Bvc3RfcHZxcwAVACUAHIwXQAAAAAAAAAAREQAAACbYn%2BXruJCaARUCKAJDMxgLdnRzX3ByZXZpZXccF0CXWk7ZFocrGCFkYXNoX2dlbjJod2Jhc2ljX2hxMl9mcmFnXzJfdmlkZW8SABgYdmlkZW9zLnZ0cy5jYWxsYmFjay5wcm9kOBJWSURFT19WSUVXX1JFUVVFU1QbCogVb2VtX3RhcmdldF9lbmNvZGVfdGFnBm9lcF9oZBNvZW1fcmVxdWVzdF90aW1lX21zATAMb2VtX2NmZ19ydWxlB3VubXV0ZWQTb2VtX3JvaV9yZWFjaF9jb3VudAEwEW9lbV9pc19leHBlcmltZW50AAxvZW1fdmlkZW9faWQPNjA0MjI2OTYxOTE4NzU3Em9lbV92aWRlb19hc3NldF9pZA84MjU2ODU3OTg5NTgzODUVb2VtX3ZpZGVvX3Jlc291cmNlX2lkDzMzODkzMjA4ODQ4MTc3MhxvZW1fc291cmNlX3ZpZGVvX2VuY29kaW5nX2lkDzI2MzY3ODAzNjYwOTYyNg52dHNfcmVxdWVzdF9pZAAlAhwAJY4CGwiIAXMEOTE3NgJjZAoyMDIzLTA4LTI2A3JjYgEwA2FwcAZ1cGxvYWQCY3QZQ09OVEFJTkVEX1BPU1RfQVRUQUNITUVOVBNvcmlnaW5hbF9kdXJhdGlvbl9zCDE0OTQuNjIzAWYCYWQCdHMVcHJvZ3Jlc3NpdmVfZW5jb2RpbmdzAA%3D%3D&ccb=1-7&_nc_sid=41a7d5&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=uuVBjS68Al4AX_-Y0VF&_nc_ht=scontent-xsp1-3.xx&edm=APRAPSkEAAAA&oh=00_AfCg6rTPW6iv5VapHPzkC5TlV7qKpCRaFPmw0HNSbL-_jg&oe=65025E70&_nc_rid=574072075169995
7,https://scontent-xsp1-2.xx.fbcdn.net/v/t39.25447-2/10000000_253863880905639_7132669178056844413_n.mp4?_nc_cat=101&vs=3940a3351dcfc646&_nc_vs=HBksFQAYJEdJQ1dtQUNuVTNGSzRfWUFBSDJrZExMVFZQeGlibWRqQUFBRhUAAsgBABUAGCRHSUNXbUFEb20xdktYU0VCQUJ5OWE5RFAyT2dZYnY0R0FBQUYVAgLIAQBLB4gScHJvZ3Jlc3NpdmVfcmVjaXBlATENc3Vic2FtcGxlX2ZwcwAQdm1hZl9lbmFibGVfbnN1YgAgbWVhc3VyZV9vcmlnaW5hbF9yZXNvbHV0aW9uX3NzaW0AKGNvbXB1dGVfc3NpbV9vbmx5X2F0X29yaWdpbmFsX3Jlc29sdXRpb24AHXVzZV9sYW5jem9zX2Zvcl92cW1fdXBzY2FsaW5nABFkaXNhYmxlX3Bvc3RfcHZxcwAVACUAHIwXQAAAAAAAAAAREQAAACbmtabF65LFBBUCKAJDMxgLdnRzX3ByZXZpZXccF0CWwafvnbItGCFkYXNoX2dlbjJod2Jhc2ljX2hxMl9mcmFnXzJfdmlkZW8SABgYdmlkZW9zLnZ0cy5jYWxsYmFjay5wcm9kOBJWSURFT19WSUVXX1JFUVVFU1QbCogVb2VtX3RhcmdldF9lbmNvZGVfdGFnBm9lcF9oZBNvZW1fcmVxdWVzdF90aW1lX21zATAMb2VtX2NmZ19ydWxlB3VubXV0ZWQTb2VtX3JvaV9yZWFjaF9jb3VudAEwEW9lbV9pc19leHBlcmltZW50AAxvZW1fdmlkZW9faWQPMzUwODQwMDYwNTk5Njc4Em9lbV92aWRlb19hc3NldF9pZA8yOTQ0MzczODY1MjEyNzMVb2VtX3ZpZGVvX3Jlc291cmNlX2lkEDEyNzc5NTYxODMwODQ0MDMcb2VtX3NvdXJjZV92aWRlb19lbmNvZGluZ19pZA82MDE4MTk5Mjg4MTY1NTkOdnRzX3JlcXVlc3RfaWQAJQIcACWOAhsIiAFzBDkyMzgCY2QKMjAyMy0wOC0yNgNyY2IBMANhcHAGdXBsb2FkAmN0GUNPTlRBSU5FRF9QT1NUX0FUVEFDSE1FTlQTb3JpZ2luYWxfZHVyYXRpb25fcwcxNDU2LjQ3AWYCYWQCdHMVcHJvZ3Jlc3NpdmVfZW5jb2RpbmdzAA%3D%3D&ccb=1-7&_nc_sid=41a7d5&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=BtBlBdXOPxkAX9otSJ8&_nc_ht=scontent-xsp1-2.xx&edm=APRAPSkEAAAA&oh=00_AfCiLQNv0LHgiXHAthCHiHSI8lExb7JPj9sDLh6cPuPohg&oe=6503483E&_nc_rid=428723445374248
8,https://scontent-xsp1-1.xx.fbcdn.net/v/t39.25447-2/10000000_6429308977186001_370197998464193840_n.mp4?_nc_cat=108&vs=3aba6772770a5701&_nc_vs=HBksFQAYJEdJQ1dtQURSaEx3bGJOY1dBRERWQkVNZU5TTUZibWRqQUFBRhUAAsgBABUAGCRHSUNXbUFCMWRCNXNmcU1EQU1vaENrVldhM2dzYnY0R0FBQUYVAgLIAQBLB4gScHJvZ3Jlc3NpdmVfcmVjaXBlATENc3Vic2FtcGxlX2ZwcwAQdm1hZl9lbmFibGVfbnN1YgAgbWVhc3VyZV9vcmlnaW5hbF9yZXNvbHV0aW9uX3NzaW0AKGNvbXB1dGVfc3NpbV9vbmx5X2F0X29yaWdpbmFsX3Jlc29sdXRpb24AHXVzZV9sYW5jem9zX2Zvcl92cW1fdXBzY2FsaW5nABFkaXNhYmxlX3Bvc3RfcHZxcwAVACUAHIwXQAAAAAAAAAAREQAAACasgOmg3MdbFQIoAkMzGAt2dHNfcHJldmlldxwXQJa%2F0euFHrgYIWRhc2hfZ2VuMmh3YmFzaWNfaHEyX2ZyYWdfMl92aWRlbxIAGBh2aWRlb3MudnRzLmNhbGxiYWNrLnByb2Q4ElZJREVPX1ZJRVdfUkVRVUVTVBsKiBVvZW1fdGFyZ2V0X2VuY29kZV90YWcGb2VwX2hkE29lbV9yZXF1ZXN0X3RpbWVfbXMBMAxvZW1fY2ZnX3J1bGUHdW5tdXRlZBNvZW1fcm9pX3JlYWNoX2NvdW50ATARb2VtX2lzX2V4cGVyaW1lbnQADG9lbV92aWRlb19pZBAxMzAyNDQ5Njg3MDc0MDgwEm9lbV92aWRlb19hc3NldF9pZBAxNzQzNzI4OTkyNzQwMDM0FW9lbV92aWRlb19yZXNvdXJjZV9pZA8yMDEzNDMyNjk0MTI4ODYcb2VtX3NvdXJjZV92aWRlb19lbmNvZGluZ19pZA83MDI0OTc5NjgzOTcwODgOdnRzX3JlcXVlc3RfaWQAJQIcACWOAhsIiAFzAzg0MwJjZAoyMDIzLTA4LTI2A3JjYgEwA2FwcAZ1cGxvYWQCY3QZQ09OVEFJTkVEX1BPU1RfQVRUQUNITUVOVBNvcmlnaW5hbF9kdXJhdGlvbl9zCzE0NTYuMDA2NjY3AWYCYWQCdHMVcHJvZ3Jlc3NpdmVfZW5jb2RpbmdzAA%3D%3D&ccb=1-7&_nc_sid=41a7d5&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=p7Xr95ZvK-8AX9bTuR5&_nc_ht=scontent-xsp1-1.xx&edm=APRAPSkEAAAA&oh=00_AfAAgL6ObpJA7HPc6F0QfI8qLWBIYAIYMyMzgBuWZb5RvA&oe=6502606D&_nc_rid=145366126992136
9,https://scontent-xsp1-3.xx.fbcdn.net/v/t39.25447-2/10000000_1379564282623443_4440942307839247859_n.mp4?_nc_cat=100&vs=8c8b9fad40789499&_nc_vs=HBksFQAYJEdJQ1dtQURUdFFMWHRPWUVBUE1Gdy1aLVphRTlibWRqQUFBRhUAAsgBABUAGCRHSUNXbUFCaGhiVC1ld3daQU4wYW1qUmtEcXRfYnY0R0FBQUYVAgLIAQBLB4gScHJvZ3Jlc3NpdmVfcmVjaXBlATENc3Vic2FtcGxlX2ZwcwAQdm1hZl9lbmFibGVfbnN1YgAgbWVhc3VyZV9vcmlnaW5hbF9yZXNvbHV0aW9uX3NzaW0AKGNvbXB1dGVfc3NpbV9vbmx5X2F0X29yaWdpbmFsX3Jlc29sdXRpb24AHXVzZV9sYW5jem9zX2Zvcl92cW1fdXBzY2FsaW5nABFkaXNhYmxlX3Bvc3RfcHZxcwAVACUAHIwXQAAAAAAAAAAREQAAACayy%2FWay6FDFQIoAkMzGAt2dHNfcHJldmlldxwXQJbBp%2B%2Bdsi0YIWRhc2hfZ2VuMmh3YmFzaWNfaHEyX2ZyYWdfMl92aWRlbxIAGBh2aWRlb3MudnRzLmNhbGxiYWNrLnByb2Q4ElZJREVPX1ZJRVdfUkVRVUVTVBsKiBVvZW1fdGFyZ2V0X2VuY29kZV90YWcGb2VwX2hkE29lbV9yZXF1ZXN0X3RpbWVfbXMBMAxvZW1fY2ZnX3J1bGUHdW5tdXRlZBNvZW1fcm9pX3JlYWNoX2NvdW50ATARb2VtX2lzX2V4cGVyaW1lbnQADG9lbV92aWRlb19pZBAxMDE5ODYzNTYyMzY0MDAzEm9lbV92aWRlb19hc3NldF9pZA82ODcxMzExMDYxNDQ3NjcVb2VtX3ZpZGVvX3Jlc291cmNlX2lkDzE0NzkxMTU4ODM2MDkyMRxvZW1fc291cmNlX3ZpZGVvX2VuY29kaW5nX2lkDzMyMjQ0Nzg3MDI0NDkxNA52dHNfcmVxdWVzdF9pZAAlAhwAJY4CGwiIAXMENDI0MwJjZAoyMDIzLTA4LTI2A3JjYgEwA2FwcAZ1cGxvYWQCY3QZQ09OVEFJTkVEX1BPU1RfQVRUQUNITUVOVBNvcmlnaW5hbF9kdXJhdGlvbl9zBzE0NTYuNDcBZgJhZAJ0cxVwcm9ncmVzc2l2ZV9lbmNvZGluZ3MA&ccb=1-7&_nc_sid=41a7d5&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=Yk5ZsGHLRSEAX-NRuL8&_nc_ht=scontent-xsp1-3.xx&edm=APRAPSkEAAAA&oh=00_AfBQB3o_dbTjc61z5jFTvG9RuD6TmoXAWJWT7yXpZsb5ug&oe=65021D8D&_nc_rid=430594322065125
10,https://scontent-xsp1-2.xx.fbcdn.net/v/t39.25447-2/10000000_131909293283138_4443221616014730688_n.mp4?_nc_cat=104&vs=3566b42f0dd37888&_nc_vs=HBksFQAYJEdJQ1dtQUJDbDVHR19IY0FBTUFsNWNDRWZxazlibWRqQUFBRhUAAsgBABUAGCRHSUNXbUFEOUZGSFAzd2dEQUp4VjBqcGdtWDBPYnY0R0FBQUYVAgLIAQBLB4gScHJvZ3Jlc3NpdmVfcmVjaXBlATENc3Vic2FtcGxlX2ZwcwAQdm1hZl9lbmFibGVfbnN1YgAgbWVhc3VyZV9vcmlnaW5hbF9yZXNvbHV0aW9uX3NzaW0AKGNvbXB1dGVfc3NpbV9vbmx5X2F0X29yaWdpbmFsX3Jlc29sdXRpb24AHXVzZV9sYW5jem9zX2Zvcl92cW1fdXBzY2FsaW5nABFkaXNhYmxlX3Bvc3RfcHZxcwAVACUAHIwXQAAAAAAAAAAREQAAACbI2oDIrIWFARUCKAJDMxgLdnRzX3ByZXZpZXccF0CWu9DlYEGJGCFkYXNoX2dlbjJod2Jhc2ljX2hxMl9mcmFnXzJfdmlkZW8SABgYdmlkZW9zLnZ0cy5jYWxsYmFjay5wcm9kOBJWSURFT19WSUVXX1JFUVVFU1QbCogVb2VtX3RhcmdldF9lbmNvZGVfdGFnBm9lcF9oZBNvZW1fcmVxdWVzdF90aW1lX21zATAMb2VtX2NmZ19ydWxlB3VubXV0ZWQTb2VtX3JvaV9yZWFjaF9jb3VudAEwEW9lbV9pc19leHBlcmltZW50AAxvZW1fdmlkZW9faWQPNjkwNTYzNzU1ODUyMjI3Em9lbV92aWRlb19hc3NldF9pZA8xOTM5MzYyOTAyMjk0ODAVb2VtX3ZpZGVvX3Jlc291cmNlX2lkDzI5MjU2MTk3MzQxNzYzNhxvZW1fc291cmNlX3ZpZGVvX2VuY29kaW5nX2lkDzg0ODUyNDQzMzUwODMwMw52dHNfcmVxdWVzdF9pZAAlAhwAJY4CGwiIAXMENjQ4OQJjZAoyMDIzLTA4LTI2A3JjYgEwA2FwcAZ1cGxvYWQCY3QZQ09OVEFJTkVEX1BPU1RfQVRUQUNITUVOVBNvcmlnaW5hbF9kdXJhdGlvbl9zCzE0NTUuMDA4MzMzAWYCYWQCdHMVcHJvZ3Jlc3NpdmVfZW5jb2RpbmdzAA%3D%3D&ccb=1-7&_nc_sid=41a7d5&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=Lyn5fg7bwtIAX-TAutX&_nc_ht=scontent-xsp1-2.xx&edm=APRAPSkEAAAA&oh=00_AfDHE3mTMdjO1nP9E1N75erS9zaGdlmTnixgM-6YGIGicg&oe=6502F949&_nc_rid=110309224521827
